city,median_price
Gurgaon,44950000.0
Delhi,21750000.0
Noida,20500000.0
Vikarabad,20000000.0
Agra,18000000.0
Kakinada,16500000.0
Vizianagaram,16000000.0
Mumbai,14400000.0
Lucknow,11979500.0
Bangalore,11800000.0
Gandhinagar,10950000.0
Bhubaneswar,10369000.0
Pune,10000000.0
Guntur,10000000.0
Visakhapatnam,9454000.0
Hyderabad,9443500.0
Jaipur,8301500.0
Chennai,7557000.0
Kochi,7500000.0
Jalpaiguri,5500000.0
Thane,5000000.0
Kanyakumari,4730000.0
Patna,3539000.0
Vijayawada,2196000.0
Coimbatore,1928500.0
Navi Mumbai,7.075
